项目,主题,问题类型,优先级,
新公司业务管理系统_内部,【董监高声明与账户合并】A股账户管理历史，多出了限售调整前后均为100%的记录,优化,普通,
新公司业务管理系统_内部,【董监高声明与账户合并】新建董监高声明--新增多个A股账户，提交成功以后再次查看，只保存了第一个A股账户。,缺陷,普通,
新公司业务管理系统_内部,【债券信息库】接口发起公司债，上市公司退回给公司债事务，指定新的初审流程办结后，证券表未插入新数据,优化,普通,
新公司业务管理系统_内部,【上市公司综合信息功能菜单】上市公司和内部人员进入上市公司综合信息看到的菜单顺序不一致,缺陷,低,
新公司业务管理系统_内部,【V7.4债券数据库】接口过来的公司债带入字段有误,缺陷,普通,
新公司业务管理系统_内部,【董监高声明与账户合并】A股账户全部删除以后，首条记录无法编辑，再重新建一条数据，无法提交。,缺陷,普通,
新公司业务管理系统_内部,【V7.4债券数据库】公司债事务收到无代码及简称的业务提醒点击进入页面流程字段不正确,优化,普通,
新公司业务管理系统_内部,【V7.4债券数据库】公司债事务业务提醒有误,缺陷,普通,
新公司业务管理系统_内部,【董监高声明与账户合并】A股账户验证不通过：上市公司会收到业务提醒。,缺陷,普通,
新公司业务管理系统_内部,【董监高声明与账户合并】A股账户页面显示：同时存在限售比例和限售额度的时候，只显示限售比例。,缺陷,普通,
新公司业务管理系统_内部,【减持预披露】减持预披露列表页，当使用“姓名”（或“预披露日”）和“类别、职务、状态”一起查询时，列表中展示了不满足查询条件的结果,缺陷,普通,
新公司业务管理系统_内部,【债券信息库】关于进入公司债事务和上市公司的数据源，下一个版本优化！！！！,缺陷,普通,
新公司业务管理系统_内部,【监察部接口】当天办结且选择当天挂网的监管工作函，执行发送接口后，并未被发送,缺陷,紧急,
新公司业务管理系统_内部,【监察部接口】当异调内幕知情人应答文件为空，包含000000的公司代码时，执行接口提示初始化变量失败,缺陷,普通,
新公司业务管理系统_内部,【监察部接口】接收异调内幕知情人应答接口中，计算昨日发送内幕知情人数据条数的时候，未进行去重导致数据校验不一致,缺陷,普通,
新公司业务管理系统_内部,【债券信息库】关于设置多个公司债事务，下一个版本优化！！！！,缺陷,普通,
新公司业务管理系统_内部,【减持预披露】内部人员查看申报减持预披露详情页面，可以修改并保存预披露日期及关联公告,缺陷,普通,
新公司业务管理系统_内部,【V7.4债券数据库】可转债调整修正情况列表不显示历史数据,缺陷,普通,
新公司业务管理系统_内部,【V7.4债券数据库】初审发起可转债维护流程上市公司收不到待办提醒,缺陷,高,
新公司业务管理系统_内部,【V7.4债券数据库】可转债上市公司维护流程点击修改按钮报错,缺陷,普通,
新公司业务管理系统_内部,【债券信息库】接口发起公司债-初审通过后，上市公司点维护，再点修改页面无法显示,缺陷,普通,
新公司业务管理系统_内部,【V7.4债券数据库】公司债事务没有配初审权限收不到业务提醒,缺陷,普通,
新公司业务管理系统_内部,【V7.4债券数据库】公司债事务收到无代码及简称的业务提醒点击进入页面字段不正确,缺陷,普通,
新公司业务管理系统_内部,【V7.4债券数据库】公司债事务点击忽略按钮首页收到无代码及简称的业务提醒不关闭,缺陷,普通,
新公司业务管理系统_内部,【V7.4债券数据库】公司债事务收到无代码及简称的业务提醒有误,缺陷,普通,
新公司业务管理系统_内部,【董监高声明与账户合并】新建和修改页面，点击提交以后页面保存完页面关闭,优化,低,
新公司业务管理系统_内部,【债券信息库】ADD_ISSUE_COMPANY_DETAIL 未指明具体公司的数据源优化,优化,普通,
新公司业务管理系统_内部,【董监高声明与账户合并】修改A股账户：上市公司提交以后，不再允许修改记录，只能删除或新增。,缺陷,普通,
