项目,主题,问题类型,优先级,
新基金业务管理系统_内部,【v1.2分级LOF当日暂停流程】临时停牌通知单中类型栏位更改为业务类型,需求变更,低,
新基金业务管理系统_内部,【FMSv1.2】优化单，LOF当日暂停及ETF变更标的指数流程,优化,低,
新基金业务管理系统_内部,V1.2【LOF当日暂停业务】基金公司登陆，点击LOF当日暂停链接，页面左下角报JS错误,优化,普通,
新基金业务管理系统_内部,V1.2【上证基金通-更名】上证基金通-更名没有导航,缺陷,低,
新基金业务管理系统_内部,V1.2【ezpar接口文件】LOF更名流程T-1日ezpar文件没有生成,缺陷,高,
新基金业务管理系统_内部,【FMSv1.2基金代码申请】业务流程处于待复核和复核中（基金公司此时查看业务状态为审核中）时，基金公司查看代码申请信息列表证券代码可见，查看详情时代码相关字段可见,缺陷,高,
新基金业务管理系统_内部,【FMSv1.2】操作权限用户登录-首页 > 业务操作 > ETF基金 > 更名，申请日期起始日大于终止日报错后点击：确定，页面会刷新，之前所有已填数据皆清空，不友好。,优化,普通,
新基金业务管理系统_内部,【FMSv1.2上证LOF基金发行变更】所内基金业务部发起上证LOF发行变更申请，切换证券代码时基金委托人信息有残留,优化,低,
新基金业务管理系统_内部,V1.2【上证基金通更名】通知单预览界面，将基金更名通知更改成上证基金通更名通知,缺陷,普通,
新基金业务管理系统_内部,V1.2【所有流程-委托待办】复核代办人处理流程，生成通知单，委托人再去处理流程，生成通知单，签名图片显示代办人签名图片,缺陷,普通,
新基金业务管理系统_内部,【FMSv1.2】基金公司登录-业务办理-上证LOF基金-暂停及恢复申赎及转托管-业务办理申请-填写-转托管日期填写错误后的提示语不正确,缺陷,普通,
新基金业务管理系统_内部,【FMSv1.2基金代码申请】基金公司提交基金产品代码申请，初审审核时填写重复的证券代码，提交审核提示框优化,优化,低,
新基金业务管理系统_内部,【FMSv1.2上证（分级）LOF基金更名】所内基金业务部查看上证（分级）LOF基金更名的申请信息列表，列表项缺少业务申请人字段（与需求不一致）,需求变更,低,
新基金业务管理系统_内部,V1.2【上证基金通>发售变更】发送通知单时，左下角页面报错，提示网页错误,优化,低,
