项目,主题,问题类型,优先级,描述
大数据平台开发项目,【数仓数据迁移专题】_1.2.2.2_执行数据上传操作问题。,缺陷,高,"

测试日期：2017811
测试版本：1.2.2.2

测试步骤：
1、按照数据迁移手册，执行bash run_upload start

预期结果：
执行未出现异常。

实际结果：
1. 执行bash run_upload start 发现运行日志出现以下异常，导致迁移pp_etlusers.etl_job_source表异常，异常信息如下：
 grep -i err upload.log 
Fri, 11 Aug 2017 12:00:58 upload.py[line:146] ERROR insert table error log:/sse/data/etl/srctxt/etl-data-migrate/script/pp_etlusers/etl_job_source/etl_job_source_200.log
cat /sse/data/etl/srctxt/etl-data-migrate/script/pp_etlusers/etl_job_source/etl_job_source_200.log
ERROR:  dn_6021_6022: null value in column ""etl_system"" violates not-null constraint
DETAIL:  Failing row contains (flg_zh|FTP|GETZH|GETZH|0|0|0|0|0|20, null, null, null, null, null, null, null, null, null).

"
大数据平台开发项目,【数仓数据迁移专题】_1.2.2.2_环境创建名称不正确问题。,优化,普通,"测试日期：2017811
测试版本：1.2.2.2

测试步骤：
1、执行环境创建内容

预期结果：
执行未出现异常。

实际结果：
1. PD_STAGEARE_UI，PD_STAGEARE_UI_SP 创建schema名称不正确，应该为PD_STAGEAREA_UI，PD_STAGEAREA_UI_SP，会影响应用迁移测试，
2. hdfs_pd_stageare_ui，hdfs_pd_stageare_ui_sp 创建TABLESPACE名称不正确，应该为hdfs_pd_stagearea_ui，hdfs_pd_stagearea_ui_sp，会影响应用迁移测试。
"
新公司业务管理系统_内部,定期报告预约实际披露日期为空,,低,"600112,600121  2016年年报提交后实际披露日期仍为空。"
大数据平台开发项目,【BDP_ETL_BOSS_0.9】接口文件数据超长时job没有报错，致使加载的数据有误,缺陷,普通,"测试日期：20170811
测试版本：BDP_ETL_BOSS_0.9
测试步骤：
2.准备测试数据文件，使文件数据含有超长部分
1、运行ETL批量作业
预期结果：
job运行失败，提示数据文件有误
实际结果：
部分job运行成功，致使加载查询的数据有误，例如把超长部分加载到下一个字段，以此后推，使后面的数据全部加载有误
"
大数据平台开发项目,"【大数据平台应用】两组账户对倒应用,查询提示无数据，点击翻页条件为1000条/页，界面上出现数据",缺陷,高,
大数据平台开发项目,【大数据平台应用】账户证券交易情况查询，同样条件下，查询性能低于TD,优化,普通,"查询条件：
开始日期：20150401
结束日期：20150414
导入账户：2500个，见附件
统计对象：选""股票""

测试预期：大数据平台的耗时不高于TD

实测结果：TD耗时30秒；大数据平台耗时37秒
"
大数据平台开发项目,【大数据平台应用】可疑对象分析-前4个子tab页导出数值类型和TD不一致,优化,普通,"【步骤】：上传数据点击查询，分别倒数前听歌tab页面的数据，查看表格中的数据
【结果】：前4个tab页面导出的数值类型和TD不一致
【期望】：导出的数值类型和TD一致
【测试数据】：
开始日期/结束日期：2015-04-01/2015-04-14
证券代码：600673
股东账户：A090917710
B042160647"
大数据平台开发项目,【大数据平台应用】账户证券交易情况查询，导出当前表格数据时最多只能导出2000条,优化,高,当查询结果大于2000条时，导出的当前表格数据（CSV格式）文件中只有2000条数据，而不是全量查询结果数据
大数据平台开发项目,【大数据平台应用】庄股协查指标应用，用户导出数据保存类型和TD数据类型不一致,优化,低,"操作步骤：
【1】输入测试条件如下：
开始日期：2015/4/1
结束日期：2015/4/14
证券代码：600100
股东账户：
B042895787
D041744935
D041856668
E023125446
E024189651
【2】点击查询，导出文件为excel
【3】和TD核对数据类型"
大数据平台开发项目,【大数据平台应用】先/后进先出-4个子应用导出数值类型和TD不一致,缺陷,低,"【步骤】：上传Excel，点击查询，导出数据
【结果】：比对数据类型不一致
"
大数据平台开发项目,【大数据平台应用】可疑对象分析-输入小于6位的或者包含无效字符的证券代码期望有提示，且提示和TD一致,优化,普通,"【步骤】：输入小于6位或者包含无效字符的证券代码
【结果】：输入小于6位或者包含无效字符的证券代码没有任何提示
【期望】：输入小于6位或者包含无效字符的证券代码期望有提示，且提示和TD一致
"
大数据平台开发项目,【BDP_ETL_BOSS_0.9】信息披露表中字段信息披露文件名称和信息披露类型字段名与数据模型不一致,缺陷,低,"测试日期：20170810
测试版本：BDP_ETL_BOSS_0.9
测试步骤：
1、运行ETL批量作业
预期结果：
表结构和字段与数据模型一致。
实际结果：
信息披露表中字段信息披露文件名称和信息披露类型字段名与数据模型不一致，数据模型中为file_name和file_typ实际为bond_disclosure和notice_type
"
大数据平台开发项目,【大数据平台应用】账户证券交易情况查询，维度计算结果的日期显示与TD不一致,优化,高,"测试数据：
账户：A016294786
证券代码：600009
开始日期：2009-11-16
结束日期：2009-11-27

对查询结果进行维度运算：
维度：股东账户、股东名称、交易日期
度量：缺省

预期：与TD运算结果一致
实际结果：
1）交易日期在界面的显示与不一致，详见截图
2）导出的文件中，日期格式也不一致，详见截图

"
大数据平台开发项目,"【大数据平台应用】先/后进先出-子应用2,3按后进先出计算卖方实际交易佣金计算错误",缺陷,高,"【步骤】：子应用2上传Excel，按照后进先出筛选

【结果】：卖方实际交易佣金计算错误  

实际交易佣金计算=成交金额 * 实际佣金比例

【测试数据】：见附件



子应用2到可以作为子应用3的输入条件"
大数据平台开发项目,【大数据平台应用】账户证券交易情况查询，维度计算结果与TD不一致,缺陷,高,"测试数据：
账户：A000026482
证券代码：600806
日期：2009-11-16   2009-11-27

对查询结果进行维度运算：
维度：股东账户、股东名称
度量：缺省

预期：与TD运算结果一致
实际结果：买成交数量（合计）、买成交价格（合计）不一致，详见截图"
大数据平台开发项目,【大数据平台应用】庄股协查指标应用，当开始日期控件和结束日期控件选择为同一天，点击查询，错误提示信息不正确,缺陷,普通,"操作步骤：
1.开始日期和结束日期清空，点击查询
2.选择开始日期和结束日期为T日，点击查询
3.选择开始日期和结束日期为T-1日，点击查询
预期结果：
开始日期和结束日期同为一天 不会报错提示说 开始日期不能大于结束日期
实际结果：
开始日期和结束日期同为一天，界面报错提示开始日期不能大于结束日期 提示信息不正确
"
大数据平台开发项目,【大数据平台应用】可疑对象分析-tab5页面，当查询的日期跨度时间长的时候日K线的横轴的日期显示就消失,缺陷,普通,"【步骤】：上传数据点击查询，查看tab5页面显示的日K线横轴的日期显示
【结果】：日K线横轴日期显示消失变成一条红线
【期望】：显示日K线横轴的日期
【测试数据】：
开始日期/结束日期：2010-11-25/2015-04-15
证券代码：600038
股东账户：A000000603 A500198135
"
大数据平台开发项目,【大数据平台应用】可疑对象分析-tab5页面，当持股量位数超过7位数的时候数字显示不全,优化,普通,"【步骤】：上传数据点击查询，查看tab5页面显示的持股数量
【结果】：当持股数量位数显示超过7位的时候数字就显示不全
【期望】：持股数量展现全部数据
【测试数据】：
开始日期/结束日期：2000-11-25/2017-08-10
证券代码：600038
股东账户：A000000603
A500198135
D041743096
A066172071"
大数据平台开发项目,【大数据平台应用】关于成交明细及对手方信息查询等应用查询结果展示的首列数据固定,优化,低,"成交明细及对手方信息查询、账面盈利计算等应用查询结果展示的首列数据建议优化为固定状态，
数据仓库平台的结果展示效果是首列固定，拖动滚动条不影响首列展示，建议大数据平台应用同样优化为首列固定"
大数据平台开发项目,【大数据平台应用】成交明细及对手方信息等查询页面显示的数据建议固定首列,优化,低,"成交明细及对手方信息 和 账面盈利计算 查询页面显示的数据建议固定首列
数据仓库展示效果为首列固定，拖动卷轴不影响该列展示，望大数据平台应用同样优化一下展示效果"
大数据平台开发项目,【大数据平台应用】先/后进先出-子应用2，3查询出数据后表头字段显示不整齐,优化,普通,"【步骤】：上传Excel，点击查询
【结果】：表头字段高度变大，界面显示不美观
【期望】：和数据为空时显示一致
【测试数据】：见附件
"
大数据平台开发项目,【大数据平台应用】庄股协查指标应用，证券代码和股东账户同时输入非法，点击查询，却先提示账户异常而非是证券代码非法,优化,普通,"操作步骤：
1.输入测试条件
开始日期：2009-11-16
结束日期：2009-11-27
证券代码：600
股东账户输入：A00000000
备注：股东账号是9位数而非10位
2.点击查询
3.查看界面错误提示，错误提示顺序不对
期望：
按照界面控件顺序提示错误信息
实际结果：
没有按照界面控件顺序提示错误信息，可优化下
"
大数据平台开发项目,【大数据平台应用】先/后进先出-4个子应用上传的Excel中任意字段非正常值时 提示优化,优化,普通,"【步骤】：以子应用1为例
         上传Excel（如下数据），点击查看，看说明提示
【结果】：全部提示“XXXX字段不能为空！”，并且时间判断重复
【期望】：优化提示或按照1.1版本提示“请检查XXXX是否正确！”
【测试条件】：股东账户不足10位，超过10，不以字母+数据组合，存在特殊符号数字英文，有空格
              证券代码不足6位，超过6，不以6位数字组合，存在特殊符号数字英文，有空格
              开始/结束日期带有年月日
              佣金比例非数字
【数据】
股东账户	证券代码   开始日期	   结束日期	佣金比例
000000057	6001845	 2009年11月23日	   20091123	比例
"
