项目,主题,问题类型,优先级,描述
网下IPO_内部,IPOv2.1.0.5批量导入文件不符合约定建议不清除浏览目录,优化,普通,"前提：系统当前时间为测试证券的询价阶段

重现步骤：
1、申购交易员登录，选择菜单“数据管理 ->初步询价录入”
2、下载模板并编辑，至少有一列不符合约定
3、点击“批量导入”按钮，选择已编辑好的文件
4、点击“上传”

预期结果：关闭错误提示信息后，“批量导入”对话框不关闭，已选择文件不清除

实际结果：关闭错误提示信息后，“批量导入”对话框被关闭；重新点击“批量导入”已选择文件被清除"
新基金业务管理系统_内部,【v1.2分级LOF更名流程】进入列表页面后，点击业务办理申请，关闭页面，返回列表页面后导航信息不显示,缺陷,低,"问题一：
重现步骤：
1.基金公司和基金业务部登录，进入LOF更名列表页，点击业务办理申请
2.申请页面点击关闭

实际结果：页面不显示导航信息

预期结果：页面需要显示导航信息
问题二：
基金公司和基金业务部登录，点击分级LOF更名，页面应该显示分级LOF更名，不应该显示LOF更名

"
新基金业务管理系统_内部,【v1.2分级LOF当日暂停流程】临时停牌通知单中类型栏位更改为业务类型,需求变更,低,"测试步骤：发起流程，生成通知单，
预期结果：通知单显示业务类型
实际结果：显示类型
"
债券招标发行系统_内部,承销商用户登录，进行中的债券分销页面不显示已到分销开始时间的分销数据,"",紧急,"步骤：
场务建金融债券
发行人发布标书
承销商用户投标
发行人中标计算
用承销商用户登录，自动托管到中证登且托管状态为已复核
预期结果：进行中的债券分销页面显示已到分销开始时间的分销数据
实际结果：进行中的债券分销页面不显示已到分销开始时间的分销数据
浏览器：IE8
操作系统：win7专业版"
新公司业务管理系统_内部,【董监高声明与账户合并】A股账户管理历史，多出了限售调整前后均为100%的记录,优化,普通,"测试描述：
1.上市公司登陆， 600009， 查看董监高-0811TEST002 的A股账户管理历史信息。

期望结果：管理历史显示A股账户限售比例或额度调整的历史记录；
实际结果：历史记录多出了限售比例或额度调整前后均为100%的记录，见附件截图。

"
债券招标发行系统_内部,【优化】场务端登录，复制承销团信息页面，复制已定义承销团显示不全,"",普通,"步骤：
场务端登录，新建金融债券标书后发起招标
填写标书信息，上传价位明细表，复制承销团信息
预期结果：复制承销团信息页面显示正确
实际结果：复制承销团信息页面，复制已定义承销团显示不全
浏览器：IE8
操作系统：win7专业版"
债券招标发行系统_内部,【优化】场务端登录，新建金融债券标书后发起招标，输入招标开始时间和招标结束时间后分销时间未自动带出,"",普通,"步骤：
场务端登录，新建金融债券标书后发起招标
预期结果：输入招标开始时间和招标结束时间后分销时间自动带出
实际结果：输入招标开始时间和招标结束时间后分销时间未自动带出
浏览器：IE8
操作系统：win7专业版"
ERP系统_内部,楼总及家馨的office附件出现多个应用打开的现象,缺陷,高,楼总及家馨的内网环境中，从ERP打开office附件，有时会出现多个空office应用被打开的现象，重启可解决。
债券招标发行系统_内部,【优化】场务端登录，点击债券管理，新建债券信息，债券基本信息页面上对必填项无标识,"",普通,"步骤：
场务端登录，点击债券管理
新建债券信息
预期结果：债券基本信息对于必填项*号提示
实际结果：债券基本信息页面上对必填项无标识
浏览器：IE8
操作系统：win7专业版"
债券招标发行系统_内部,【优化】场务新增承销商用户，不同展示内容对齐显示，如登录名、登录密码等应左对齐,"",普通,"步骤：
用场务用户登录
选择信息维护-用户管理
点击新增承销商用户
预期结果：不同展示内容对齐显示，如登录名、登录密码等应左对齐
实际结果：不同展示内容未对齐显示，参差不齐，登录密码等主席未左对齐
浏览器：IE8
操作系统：win7专业版"
